"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/FAB/FreeFurniturePack/Materials/M_Classic_chair.M_Classic_chair","0","3","3","1","2.996485","0","3"
"/Game/FAB/JapaneseFurniture_Modern/Materials/M_Master_Masked.M_Master_Masked","0","3","3","1","2.899189","0","3"
"/Game/FAB/Weapons_Free/Materials/M_Material.M_Material","0","3","3","1","2.098214","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_1.M_Wood_1","0","3","3","1","3.104674","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Porcelain_1.M_Porcelain_1","0","3","3","1","2.912379","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Color_1.M_Color_1","0","3","3","1","2.278626","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Fabric_1.M_Fabric_1","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Fabric_3.M_Fabric_3","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Plaster_1.M_Plaster_1","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_4.M_Wood_4","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Plastic_1.M_Plastic_1","0","3","3","1","2.997400","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Texture_3.M_Texture_3","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Porcelain_2.M_Porcelain_2","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_6.M_Wood_6","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_3.M_Wood_3","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Texture_2.M_Texture_2","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_2.M_Wood_2","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Texture_1.M_Texture_1","0","3","3","1","0.000000","0","3"
"/Game/FAB/Modern_House_V1/Materials/M_Wood_7.M_Wood_7","0","3","3","1","0.000000","0","3"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","23","25","1","34.203163","0","25"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","6.962217","0","13"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","10.009285","0","10"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","5.717431","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","12.524318","0","25"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","24.217009","0","16"
"/Game/FAB/Modern_House_V1/Materials/M_Glass.M_Glass","0","10","10","1","48.225838","0","10"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","121.969437","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","121.366241","0","32"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","23","25","1","45.792007","0","25"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","19.915625","0","13"
"Globals","49","10300","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","7","7","1","14.667381","0","7"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","12","14","1","13.730836","0","14"
"","49","64","0","1","0.000000","65","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","8","8","1","18.750860","0","8"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","19","21","1","21.577047","0","21"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","8","8","1","6.398789","0","8"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","10","11","1","5.664721","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","10","10","1","4.981501","0","10"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","7","7","1","6.258440","0","7"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","42","45","1","74.275200","0","45"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","11","12","1","23.070246","0","12"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","67","67","1","0.000000","0","67"
